Quantity,Wire Gauge 1-9,Strip A,Strip B,OAL
4,4,1.2,1.2,80
5,4,1.2,1.2,52
5,4,1.2,1.2,42
5,4,1.2,1.2,31
2,4,1.2,1.2,10
1,5,1.2,1.2,93
4,5,1.2,1.2,80
3,5,1.2,1.2,52
2,5,1.2,1.2,42
2,5,1.2,1.2,31
1,7,1.2,1.2,130
4,7,1.2,1.2,100
5,7,1.2,1.2,88
4,7,1.2,1.2,80
7,7,1.2,1.2,69
5,7,1.2,1.2,55
6,7,1.2,1.2,45
8,7,1.2,1.2,32
2,7,1.2,1.2,12
7,8,1.2,1.2,130
10,8,1.2,1.2,120
8,8,1.2,1.2,100
5,8,1.2,1.2,88
15,8,1.2,1.2,80
8,8,1.2,1.2,69
2,8,1.2,1.2,55
6,8,1.2,1.2,45
14,8,1.2,1.2,32
6,8,1.2,1.2,12
